origin_county,Pop_group,Trip_purpose,Time_period,destination_county,origin_region,destination_region,mode,Trip_num,auto_tt,transit_ivt,transit_at,transit_et,transit_nt,non_auto_tt,cost,constant_driving,constant_transit,constant_ondemand,constant_biking,constant_walking,constant_carpool,market_id,alternative_id,All_trips,Trip_0,share,share_0,log_s_s0,log_s_s(mode),log_s_s(region),log_s_s(county),iv_auto_tt,iv_transit_ivt,iv_nonauto_tt,County_09001,County_09005,County_09009,County_34003,County_34013,County_34017,County_34019,County_34021,County_34023,County_34025,County_34027,County_34029,County_34031,County_34035,County_34037,County_34039,County_36005,County_36027,County_36047,County_36059,County_36061-0,County_36061-1,County_36071,County_36079,County_36081,County_36085,County_36087,County_36103,County_36111,County_36119,County_42103,OTP_transit_at,OTP_transit_et,OTP_transit_wt,OTP_transit_ivt,OTP_transit_nt,OTP_transit_cost,cost_new,transit_wt,From_NYC,To_NYC,Is_NYC,F_T_NYC,cost_new_NYC,auto_tt_NYC,transit_at_NYC,transit_et_NYC,transit_wt_NYC,transit_ivt_NYC,non_auto_tt_NYC
9001,LowIncome,Commute,Overnight,34029,CTS,NJS,carpool,4,155.5,0,0,0,0,0,6.158052121,0,0,0,0,0,1,1,68,15924,144,0.000251193,0.009042954,-3.583518938,-7.17395832,-3.267665989,-0.223143551,71.00813847,114.309653,71.04756544,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.158052121,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34029,CTS,NJS,driving,1,181,0,0,0,0,0,12.31610424,1,0,0,0,0,0,1,69,15924,144,6.28E-05,0.009042954,-4.9698133,-8.95828281,-4.65396035,-1.609437912,71.0225865,114.2879198,71.03405745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31610424,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34031,CTS,NJS,carpool,8,94.125,0,0,0,0,0,3.452710246,0,0,0,0,0,1,1,74,15924,144,0.000502386,0.009042954,-2.890371758,-6.480811139,-2.574518808,-0.693147181,71.01784127,114.3386436,71.0655841,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.452710246,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34031,CTS,NJS,driving,7,89.71428571,0,0,0,0,0,6.905420492,1,0,0,0,0,0,1,75,15924,144,0.000439588,0.009042954,-3.023903151,-7.012372661,-2.708050201,-0.826678573,71.02126371,114.3313945,71.06107858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.905420492,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34031,CTS,NJS,transit,1,0,175.1151721,4.485765564,2.399062352,4,0,2.9,0,1,0,0,0,0,1,77,15924,144,6.28E-05,0.009042954,-4.9698133,-6.536691598,-4.65396035,-2.772588722,71.03405745,114.2768218,71.03405745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.485765564,2.399062352,26.46965314,175.1151721,4,0,4.25,26.46965314,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34035,CTS,NJS,carpool,3,100.3333333,0,0,0,0,0,4.111505495,0,0,0,0,0,1,1,80,15924,144,0.000188395,0.009042954,-3.871201011,-7.461640392,-3.555348061,-0.287682072,71.0239838,114.3024077,71.04306221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.111505495,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34035,CTS,NJS,driving,1,121,0,0,0,0,0,8.22301099,1,0,0,0,0,0,1,81,15924,144,6.28E-05,0.009042954,-4.9698133,-8.95828281,-4.65396035,-1.386294361,71.02638903,114.2879198,71.03405745,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22301099,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34039,CTS,NJS,carpool,2,90.5,0,0,0,0,0,4.001471798,0,0,0,0,0,1,1,92,15924,144,0.000125597,0.009042954,-4.276666119,-7.8671055,-3.96081317,-0.916290732,71.02708787,114.2951633,71.03855954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.001471798,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34039,CTS,NJS,driving,2,107.5,0,0,0,0,0,8.002943595,1,0,0,0,0,0,1,93,15924,144,0.000125597,0.009042954,-4.276666119,-8.26513563,-3.96081317,-0.916290732,71.02493297,114.2951633,71.03855954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.002943595,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34039,CTS,NJS,transit,1,0,146.7028,24.477,27.8202,2,0,2.9,0,1,0,0,0,0,1,95,15924,144,6.28E-05,0.009042954,-4.9698133,-6.536691598,-4.65396035,-1.609437912,71.03405745,114.2786224,71.03405745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.477,27.8202,28.94209327,146.7028,2,0,4.25,28.94209327,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,36005,CTS,NYC,carpool,90,55.36666667,0,0,0,0,0,2.795403298,0,0,0,0,0,1,1,98,15924,144,0.005651846,0.009042954,-0.470003629,-4.060443011,-1.577832573,-0.693147181,71.11940041,114.9362069,71.43699123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.795403298,0,0,1,0,1,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,36005,CTS,NYC,driving,32,54.90625,0,0,0,0,0,5.590806595,1,0,0,0,0,0,1,99,15924,144,0.002009545,0.009042954,-1.504077397,-5.492546908,-2.611906341,-1.727220948,71.06231855,114.512896,71.17388827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.590806595,0,0,1,0,1,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,36005,CTS,NYC,transit,58,0,96.53947679,16.70726435,11.49463817,1.346153846,0,2.9,0,1,0,0,0,0,1,101,15924,144,0.003642301,0.009042954,-0.909370289,-2.476248587,-2.017199233,-1.13251384,71.29159092,114.3461262,71.29159092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.70726435,11.49463817,18.14209364,96.53947679,1.346153846,0,4.4,18.14209364,0,1,0,1,0,0,0,0,0,0,0
