origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
36087,false,Senior,Other,Overnight,12662,12580,82,55002
09009,false,Senior,Other,Overnight,35594,34776,818,159985
36027,false,NotLowIncome,Other,Overnight,53711,53152,559,131061
36071,false,Student,Other,Overnight,14419,14300,119,110478
34017,false,NotLowIncome,Other,Overnight,105240,104290,950,332476
34017,false,Senior,Commute,Overnight,7510,7392,118,91058
34037,false,Senior,Other,Overnight,6665,6578,87,27550
36061,true,Student,Commute,Overnight,19164,19092,72,333317
09009,false,LowIncome,Other,Peak,267920,260042,7878,134071
34027,false,Student,Other,Peak,102033,100599,1434,125353
34031,false,LowIncome,Other,Overnight,31743,31549,194,100831
36061,false,NotLowIncome,Commute,Peak,565132,564306,826,765831
42103,false,LowIncome,Other,Peak,17492,14715,2777,9750
34019,false,NotLowIncome,Other,Overnight,25002,23894,1108,64025
34003,false,NotLowIncome,Other,Peak,985659,983610,2049,451742
36079,false,NotLowIncome,Other,Peak,105697,105479,218,48496
36085,false,Student,Other,Peak,62664,62550,114,119449
34037,false,NotLowIncome,Commute,Peak,98802,97180,1622,72418
36005,false,LowIncome,Other,Peak,448860,447755,1105,469491
09005,false,LowIncome,Commute,Peak,23842,21988,1854,20483
34021,false,Senior,Other,Peak,71790,68334,3456,62117
36085,false,LowIncome,Commute,Peak,69627,69462,165,75637
34025,false,LowIncome,Other,Overnight,25036,24899,137,57470
34027,false,NotLowIncome,Commute,Overnight,34930,34613,317,252085
34003,false,Senior,Other,Overnight,43009,42766,243,173346
09001,false,Senior,Other,Peak,188231,187236,995,159031
34039,false,Senior,Other,Overnight,21570,21425,145,87162
34039,false,Student,Commute,Overnight,5443,5414,29,142989
09001,false,Senior,Commute,Overnight,12845,12600,245,159031
34027,false,NotLowIncome,Other,Peak,617396,609727,7669,252085
34035,false,LowIncome,Other,Peak,71141,70784,357,29694
36103,false,Senior,Other,Overnight,67049,66784,265,274322
34025,false,NotLowIncome,Commute,Peak,462944,460250,2694,308764
34029,false,Senior,Other,Peak,166915,164361,2554,147307
36027,false,LowIncome,Commute,Peak,43034,42648,386,38730
34003,false,Student,Commute,Peak,410464,410262,202,229971
36119,false,LowIncome,Commute,Overnight,17211,17101,110,130338
34025,false,NotLowIncome,Commute,Overnight,36861,36651,210,308764
34003,false,Senior,Other,Peak,210929,210271,658,173346
34039,false,LowIncome,Commute,Peak,116683,116300,383,93062
36119,false,Senior,Commute,Overnight,14792,14515,277,180890
36079,false,Senior,Commute,Peak,11033,10952,81,18957
36071,false,Senior,Commute,Overnight,5206,5069,137,59259
36119,false,Senior,Commute,Peak,119754,119138,616,180890
36111,false,Student,Commute,Peak,65595,64918,677,38188
36119,false,Senior,Other,Peak,213479,212979,500,180890
36061,true,Student,Commute,Peak,259738,259354,384,333317
34003,false,LowIncome,Commute,Peak,143770,143433,337,97680
36005,false,Senior,Other,Overnight,30721,30504,217,203796
36081,false,Senior,Commute,Overnight,28215,27804,411,410297
34025,false,NotLowIncome,Other,Overnight,131773,130949,824,308764
09009,false,Student,Commute,Overnight,11782,11585,197,214683
36047,false,Senior,Commute,Peak,218275,217216,1059,407225
36027,false,NotLowIncome,Commute,Overnight,17599,17447,152,131061
36027,false,NotLowIncome,Commute,Peak,207252,205684,1568,131061
34021,false,Senior,Commute,Overnight,4852,4647,205,62117
36059,false,Student,Other,Overnight,44957,44735,222,343273
09005,false,Student,Commute,Peak,64574,61632,2942,37324
34027,false,Senior,Other,Peak,112770,111362,1408,92744
36027,false,LowIncome,Commute,Overnight,4418,4346,72,38730
42103,false,Senior,Commute,Peak,5722,4876,846,13962
36059,false,NotLowIncome,Other,Peak,1361548,1360037,1511,630882
36085,false,LowIncome,Other,Overnight,22204,22056,148,75637
36005,false,LowIncome,Commute,Overnight,34318,34138,180,469491
34035,false,NotLowIncome,Commute,Overnight,22616,22477,139,171501
34013,false,Senior,Other,Peak,140309,139726,583,124942
36119,false,LowIncome,Other,Peak,269814,269370,444,130338
34039,false,NotLowIncome,Commute,Overnight,30710,30564,146,248668
36047,false,Student,Other,Overnight,43464,43215,249,663789
36047,false,LowIncome,Other,Overnight,122650,121816,834,622797
36047,false,LowIncome,Commute,Peak,570853,569725,1128,622797
34035,false,Student,Commute,Peak,151890,151665,225,84625
36005,false,NotLowIncome,Commute,Peak,517622,517049,573,395422
36087,false,LowIncome,Commute,Peak,69555,69367,188,63359
34017,false,LowIncome,Other,Peak,216999,216246,753,134092
34013,false,Senior,Commute,Overnight,9995,9834,161,124942
34031,false,Senior,Commute,Peak,53113,52780,333,81486
34013,false,NotLowIncome,Commute,Overnight,41150,40987,163,321624
34003,false,LowIncome,Commute,Overnight,13038,12960,78,97680
